Number of queries 	Duration since launch	Lock time
1	5394	2.0
2	10627	3.5
3	15635	2.3333333333333335
4	20638	3.5
5	25647	8.6
6	30678	7.333333333333333
7	35681	6.428571428571429
8	40684	7.125
9	45698	7.0
10	50707	6.4
11	55726	5.909090909090909
12	60729	5.5
13	65732	5.076923076923077
14	70734	4.785714285714286
15	75736	4.533333333333333
16	81982	4.3125
17	86985	4.235294117647059
18	91990	4.055555555555555
19	96993	3.8947368421052633
20	101996	296.65
21	130707	282.57142857142856
22	135710	269.8181818181818
23	140714	258.1304347826087
24	145717	247.375
25	150719	237.52
26	166826	228.3846153846154
27	171828	220.37037037037038
28	176841	212.89285714285714
29	181853	205.72413793103448
30	192110	198.9
31	197113	192.51612903225808
32	202115	186.65625
33	207123	181.0
34	212125	175.7058823529412
35	220339	170.71428571428572
36	225342	166.0
37	230345	161.56756756756758
38	235349	468.94736842105266
39	252193	456.94871794871796
40	258939	445.55
41	263942	434.8292682926829
42	268950	424.5238095238095
43	273954	414.6744186046512
44	279885	405.3181818181818
45	284891	396.3333333333333
46	289894	387.8478260869565
47	294903	379.6170212765957
48	300957	371.7708333333333
49	305963	364.18367346938777
50	310965	357.04
51	315974	350.078431372549
52	320978	343.38461538461536
53	325982	337.0943396226415
54	330994	331.037037037037
55	339319	325.1818181818182
56	344330	319.55357142857144
57	349342	314.0
58	388089	308.63793103448273
59	393094	303.4237288135593
60	398097	298.3666666666667
61	411506	293.4918032786885
62	416509	288.7741935483871
63	421513	284.1904761904762
64	438336	279.796875
65	443342	275.5230769230769
66	448347	271.3636363636364
67	466243	267.32835820895525
68	471246	263.4117647058824
69	476249	259.71014492753625
70	492202	256.0857142857143
71	497211	252.50704225352112
72	502215	249.01388888888889
73	516305	245.6164383561644
74	521308	242.2972972972973
75	526311	239.08
76	539437	236.01315789473685
77	544445	572.7402597402597
78	575611	565.4102564102565
79	621800	558.253164556962
80	626803	551.275
81	631805	544.4814814814815
82	641833	537.8536585365854
83	646836	531.3855421686746
84	651839	525.0595238095239
85	658941	518.9176470588235
86	663946	512.8837209302326
87	668949	507.01149425287355
88	676353	501.25
89	681355	495.6292134831461
90	686358	490.15555555555557
91	693426	484.7912087912088
92	698430	479.79347826086956
93	703457	474.6774193548387
94	711536	469.6595744680851
95	716541	464.7263157894737
96	721544	459.9479166666667
97	729767	455.21649484536084
98	734770	450.59183673469386
99	739775	446.050505050505
100	746796	441.61
101	751800	437.23762376237624
102	756802	432.98039215686276
103	800965	428.7864077669903
104	805968	424.6730769230769
105	810970	420.6380952380952
106	816933	416.6698113207547
107	821935	412.77570093457945
108	826937	408.98148148148147
109	835476	405.23853211009174
110	840479	401.55454545454546
111	845481	398.07207207207205
112	850497	394.54464285714283
113	855897	391.0619469026549
114	860900	387.63157894736844
115	865902	384.2782608695652
116	870905	380.9655172413793
117	875907	377.70940170940173
118	880910	374.5508474576271
119	885917	371.4117647058824
120	890919	368.35833333333335
121	897795	365.31404958677683
122	902798	362.3196721311475
123	907800	359.3983739837398
124	912806	356.51612903225805
125	919937	353.688
126	924942	350.8968253968254
127	929945	348.1417322834646
128	934948	345.453125
129	942864	342.7751937984496
130	947866	340.1461538461538
131	952868	337.58015267175574
132	957874	335.18939393939394
133	966202	332.6691729323308
134	971205	330.2089552238806
135	976209	327.9037037037037
136	981229	325.5
137	991535	323.13138686131384
138	996538	320.78985507246375
139	1001540	318.51079136690646
140	1006546	316.3071428571429
141	1065342	314.07092198581563
142	1070345	311.90845070422534
143	1075355	309.73426573426576
144	1080359	307.6736111111111
145	1085374	305.64827586206894
146	1090390	303.6164383561644
147	1095401	301.57142857142856
148	1100406	299.7094594594595
149	1105434	297.71140939597313
150	1116525	295.75333333333333
151	1121531	665.8211920529801
152	1182709	661.4605263157895
153	1256981	657.1437908496732
154	1261984	652.9285714285714
155	1266994	648.7548387096774
156	1272002	644.6153846153846
157	1277007	640.5222929936306
158	1282011	636.4683544303797
159	1287013	632.4779874213837
160	1292017	628.525
161	1297019	624.6211180124224
162	1303078	620.7716049382716
163	1308081	616.9693251533743
164	1313083	613.2378048780488
165	1318089	609.5212121212121
166	1325793	605.855421686747
167	1330796	602.251497005988
168	1335801	598.672619047619
169	1340803	595.1360946745563
170	1351803	591.635294117647
171	1356805	588.1929824561404
172	1361809	584.7906976744187
173	1366814	581.4739884393064
174	1380319	578.1379310344828
175	1385322	574.84
176	1390324	571.5965909090909
177	1395329	568.367231638418
178	1407989	565.1910112359551
179	1412995	562.0335195530727
180	1417996	558.9166666666666
181	1422998	555.8563535911602
182	1494506	552.8516483516484
183	1499517	549.9125683060109
184	1504534	546.9347826086956
185	1509538	543.9945945945946
186	1605825	541.0752688172043
187	1610828	538.1818181818181
188	1615830	535.3723404255319
189	1620842	532.6137566137567
190	1687885	529.8105263157895
191	1692887	527.0837696335078
192	1697898	524.34375
193	1765833	521.6321243523316
194	1770836	518.979381443299
195	1775846	516.3282051282051
196	1845301	513.6989795918367
197	1850304	511.0964467005076
198	1855307	508.520202020202
199	1925025	505.96984924623115
200	1930028	503.45
201	1935031	500.9502487562189
202	2010223	498.5
203	2015231	496.04926108374383
204	2020233	493.62254901960785
205	2089184	491.219512195122
206	2094187	488.8398058252427
207	2099189	486.4782608695652
208	2168296	484.1442307692308
209	2173299	481.8468899521531
210	2253281	479.55238095238093
211	2258284	477.2796208530806
212	2333238	475.0330188679245
213	2338241	472.8075117370892
214	2411564	470.6214953271028
215	2416571	468.4372093023256
216	2489846	466.26851851851853
