Number of queries 	Duration since launch	Lock time
1	5391	7.0
2	10628	5.0
3	15634	3.6666666666666665
4	20637	3.0
5	25641	7.8
6	30670	7.166666666666667
7	35677	6.857142857142857
8	40684	6.375
9	45689	5.777777777777778
10	50692	5.4
11	55696	53.09090909090909
12	61228	48.75
13	66231	47.07692307692308
14	71261	43.785714285714285
15	76264	41.4
16	81277	38.875
17	93524	36.76470588235294
18	98530	34.77777777777778
19	103533	33.8421052631579
20	108552	32.3
21	113557	30.904761904761905
22	118562	156.54545454545453
23	126360	149.7826086956522
24	131363	143.66666666666666
25	136369	138.0
26	141373	132.76923076923077
27	146377	128.0
28	164270	123.46428571428571
29	169274	119.27586206896552
30	174278	115.36666666666666
31	179282	111.70967741935483
32	184286	108.375
33	193532	105.12121212121212
34	198536	102.05882352941177
35	203539	99.28571428571429
36	208546	96.55555555555556
37	213549	93.97297297297297
38	226352	91.52631578947368
39	231356	89.2051282051282
40	236360	87.0
41	241363	395.609756097561
42	259106	386.1904761904762
43	286888	377.2325581395349
44	291892	368.65909090909093
45	296894	360.4888888888889
46	301897	352.69565217391306
47	308409	345.2340425531915
48	313413	338.0833333333333
49	318417	331.2244897959184
50	323421	324.62
51	332652	318.29411764705884
52	337657	312.1730769230769
53	342660	306.3018867924528
54	347663	300.64814814814815
55	359703	295.2
56	364707	289.94642857142856
57	369710	285.0
58	374721	280.1551724137931
59	389276	275.45762711864404
60	394281	270.95
61	399289	266.5245901639344
62	404292	262.258064516129
63	417019	258.12698412698415
64	422023	254.15625
65	427029	250.27692307692308
66	432033	246.5151515151515
67	465465	242.86567164179104
68	470469	239.3235294117647
69	475473	235.8840579710145
70	480477	232.6
71	485485	229.33802816901408
72	490489	226.16666666666666
73	495492	223.0958904109589
74	500496	220.14864864864865
75	505503	217.24
76	513795	214.42105263157896
77	518800	211.64935064935065
78	523803	208.98717948717947
79	528810	502.1518987341772
80	557182	495.9
81	562186	489.8024691358025
82	567190	483.8658536585366
83	572195	478.06024096385545
84	577200	472.3809523809524
85	622966	466.83529411764704
86	627970	461.4418604651163
87	632975	456.2298850574713
88	637985	451.0681818181818
89	643023	446.0112359550562
90	648026	441.06666666666666
91	653029	436.2307692307692
92	658032	431.5217391304348
93	665718	426.89247311827955
94	670721	422.3723404255319
95	675726	417.93684210526317
96	680730	413.59375
97	692572	409.35051546391753
98	697576	405.1938775510204
99	702580	401.1212121212121
100	707585	397.12
101	719570	393.1980198019802
102	724573	389.3627450980392
103	729577	385.6116504854369
104	734582	381.9230769230769
105	744840	378.2952380952381
106	749843	374.7358490566038
107	754846	371.25233644859816
108	759850	367.8240740740741
109	770777	364.45871559633025
110	775780	361.1545454545454
111	780783	357.9189189189189
112	785787	354.75
113	790792	351.6371681415929
114	797557	348.56140350877195
115	802560	345.54782608695655
116	807564	342.58620689655174
117	812568	339.6837606837607
118	817573	336.8135593220339
119	823529	333.99159663865544
120	828532	331.225
121	833536	328.504132231405
122	838540	325.9016393442623
123	843553	323.2682926829268
124	850884	320.6693548387097
125	855887	318.12
126	860891	315.6190476190476
127	865896	313.1496062992126
128	870900	310.71875
129	925636	308.3255813953488
130	930640	305.96923076923076
131	935645	303.6412213740458
132	940648	301.3939393939394
133	945657	299.203007518797
134	950670	296.9776119402985
135	955673	294.7925925925926
136	960677	292.6617647058824
137	965684	290.54744525547443
138	976669	288.4492753623188
139	981672	286.3956834532374
140	986677	284.35714285714283
141	991680	282.34751773049646
142	996683	280.4225352112676
143	1004942	278.46853146853147
144	1009945	276.56944444444446
145	1014951	274.68275862068964
146	1019955	272.82876712328766
147	1024961	270.98639455782313
148	1033840	269.1554054054054
149	1038843	267.3557046979866
150	1043845	265.58
151	1048848	263.8476821192053
152	1053853	262.13157894736844
153	1063562	260.45098039215685
154	1068570	258.7922077922078
155	1073577	257.14193548387095
156	1078581	622.0320512820513
157	1212834	618.0764331210191
158	1217837	614.1772151898734
159	1222840	610.3207547169811
160	1227842	606.51875
161	1232845	602.7701863354038
162	1238921	599.0555555555555
163	1243924	595.3865030674847
164	1248927	591.810975609756
165	1253938	588.230303030303
166	1258941	584.6927710843373
167	1269562	581.1976047904192
168	1274565	577.75
169	1279568	574.3372781065088
170	1284571	570.9764705882353
171	1289575	567.6432748538011
172	1304178	564.3488372093024
173	1309181	561.0982658959538
174	1314185	557.9080459770115
175	1319192	554.76
176	1324201	551.6363636363636
177	1397135	548.5254237288135
178	1402138	545.4550561797753
179	1407142	542.413407821229
180	1412145	539.4055555555556
181	1417148	536.4309392265193
182	1486309	533.489010989011
183	1491312	530.5846994535519
184	1496316	527.7173913043479
185	1501320	524.9027027027028
186	1506329	522.0967741935484
187	1612851	519.3101604278074
188	1617855	516.5531914893617
189	1622857	513.8359788359788
190	1627862	511.1421052631579
191	1632866	508.4712041884817
192	1697658	505.8333333333333
193	1702662	503.25906735751295
194	1707672	500.6855670103093
195	1712677	498.12820512820514
196	1782622	495.59183673469386
197	1787626	493.0812182741117
198	1792628	490.6060606060606
199	1797632	488.1457286432161
200	1865820	485.715
201	1870825	483.30845771144277
202	1875828	480.9306930693069
203	1880832	478.5665024630542
204	1952358	476.22549019607845
205	1957361	473.90731707317076
206	1962363	471.61650485436894
